,Topic,Count,Name,Representation,Representative_Docs
68,67,99,67_1796_amort_may_wien,"['1796', 'amort', 'may', 'wien', '1783', 'citat', 'april', '1791', 'neustadt', 'neugra']","['Wien den  May 1796.| Amort.', 'Wien den  May 1796.| Amort.', 'Wien den  May 1796.| Amort.']"
69,68,98,68_novemb_november_monats_künftigen,"['novemb', 'november', 'monats', 'künftigen', 'donnerstag', 'eodem', 'samstag', 'novembr', 'juraments', 'nals']","['DEn  Novemb.', 'Den  Novemb.', 'Den  Novemb.']"
70,69,97,69_gräfl_reis_gräst_verwalteramte,"['gräfl', 'reis', 'gräst', 'verwalteramte', 'ortsgerichte', 'verwalteramt', 'amtskanzley', 'aehern', 'reiswagen', 'reisingerin']","['Von dem gräfl.', 'Von dem   der gräfl.', 'Von dem     .der gräfl.']"
71,70,97,70_alt_79_versorgh_80,"['alt', '79', 'versorgh', '80', '75', '78', '70', 'allg', '71', 'siechenh']","['alt 75  alle 9 im allg.', 'alt 75  alle 7 im allg.', 'alt 79  alle 8 im allg.']"
72,71,97,71_25_joseph_johann_böhmen,"['25', 'joseph', 'johann', 'böhmen', 'anton', 'franz', '424', 'guld', '430', 'krug']","['Robitscher.....–20 Selterwasser....–45 Pyrmonterwasser....110 Eger Sauerbrunn, grosser Krug.–48 – – – kleiner detto.–33 Saldschitzer Birterwasser,grosserKrug–20 ––––kleinerdetto–13 Billiner Sauerbrunn,grosserKrug–18 ––––kleinerdeto–12 Füreder –....–20 Freudenthaler –...–24 Sternberger –....–20 Sedlitzer Bitterwasser...–18 Jn diesem Verschleissgewölbe, welches sich durch promte Bedienung, und Aechtheit der Wässer, durch unzäblige Jahre vorzüglich ausgezeichnet hat, kömmt den Abnehmern noch der besondere Vortheil zu statten, dass jeder nicht ächte oder ungenussbare Krug oder Flasche, welches bey all möglicher Sorgfelt doch nicht vermieden werden kann, wieder zurück genommen, und gegen einen andern ohne Anstand ausgewechselt wird.', 'Als:   Robitscher.....–20 Selterwasser....–45 Pyrmonterwasser....110 Eger Sauerbrunn, grosser Krug.–48 – – – kleiner detto.–33 Saldschitzer Birterwasser,grosserKrug–20 ––––kleinerdetto–13 Billiner Sauerbrunn,grosserKrug–18 ––––kleinerdeto–12 Füreder –....–20 Freudenthaler –...–24 Sternberger –....–20 Sedlitzer Bitterwasser...–18 Jn diesem Verschleissgewölbe, welches sich durch promte Bedienung, und Aechtheit der Wässer, durch unzäblige Jahre vorzüglich ausgezeichnet hat, kömmt den Abnehmern noch der besondere Vortheil zu statten, dass jeder nicht ächte oder ungenussbare Krug oder Flasche, welches bey all möglicher Sorgfelt doch nicht vermieden werden kann, wieder zurück genommen, und gegen einen andern ohne Anstand ausgewechselt wird.', 'Gewerbsleute zu  Pölten.1150— Konrad Eiffel,Schuhmacher2— Frau Maria Antonia Gräfin  Erdödy.300— Paul Anton Rejne,Handelsmann260— Thomas Herzog,Frauenputzhandler12— Joseph Wassauer,Haubenmacher6— Joseph Tränker,Hausmeister4— Jakob Oescher,Tabackkramer4— Johanna Rothin,Hebamme12— TheresiaAdler10— Elisabeth Lessacher, Professorswittwe.16— MariaAnnaKerschbaumer24— BarbaraKramerin8624 Franziska Bleichenbach,Handarbeiterin1— Wolfgang Mayer,Wäscher4— Franz Hupmann,Kammmacher2— Sebastian Hochenauer,Milchmann2— Thomas Schweiger,Zahnarzt1— Johann Klar,Fragner2— Konrad Kuschel,Weber1— Joseph Adam,Musikus2— Felix Puechner,Wirth4— Michael Rostenth,Schneider2— Lorenz Stoflitz,Büchsenschiftergesell1— Nikolaus Gleisser,deto1— Joseph Rössler,Webergesell1— Joseph Weber,Hauskanzellist6— Franz Matschack,Kirschner2— Joseph Segel,Perlschlager2— Thomas Weigel,Wirth12— Johann Wagner,Chyrurgus2— Georg Pöschel,Schneider2— Johann Rauter,deto2— Johann Schlegel,deto2— Nikolaus Mascheck,Greissler2— Johann Georg Schram,Pikeemacher4— Anton Holzmüller,Lehrer3— Anna Bayerin,Handarbeiterin2— Franz Glaser,Sollicitator12— Joseph Holl,Hofgeflügelmayer72— Joseph Sticker,Baadmeister6— Juliana Anstein,Schuhmacherswittwe8— Die bürgl.']"
73,72,96,72_kais_serl_kai_regierende,"['kais', 'serl', 'kai', 'regierende', 'beede', 'kainzischer', 'rialisten', 'proprodiga', 'mate', 'jhro']","['Kais.', 'Kais.', 'Kais.']"
74,73,96,73_rathen_darum_sie_an,"['rathen', 'darum', 'sie', 'an', '', '', '', '', '', '']","['§.', '§.', 'darum rathen sie an §.']"
75,74,96,74_ungarn_juden_hungarn_erben,"['ungarn', 'juden', 'hungarn', 'erben', 'abwesend', 'verstorbenen', 'herrschaft', 'hiemit', 'johann', 'platzerischen']","['Von der   Herrschaft Eckhartsau und Ess ling wegen, wird hiemit der vor mehr als 30 Jahren in Ungarn verreisten Maria Anna Michlerin, zu Eckhartsau gebürtig, und dem vermuthlich vor 40 Jahren in das Soldatenle ben gerathenen Mathias Pinselirsch von Mans dorf, beede in   gebürtig, oder allen falls derselben ehelichen Descendenten kund und zu wissen gemacht, dass für diesen 47  27  3 , und für jene 54  1  Erbschaftsgel der ausfindig gemacht worden, und derselben Seitenerben auf die Zutheilung dringen.', 'Von des k  im Erzherzogthum Oesterreich unter und ob der Ens, dann in den Vorlan den bestellten      wegen, wird hiemit kund gemacht: Man habe nöthig be funden, alle jene vorzuladen, und einzuberu fen, die an die Verlassenschaft der im Julio 1735 zu Grosswardein in Ungarn abintestato ledigen Standes verstorbenen   Proviantver walters Tochter, Maria Gredelina Rainerin, einige Erbssprüche, oder andere Forderungen haben, oder zu stellen vermeinen.', 'Nachdeme nun bey damals vorgenommener gedacht Johann Michael Pauschischen Vermögensvertherlung sich gezeiget, dass der jüngste Bruder Namens Friderich Pausch, vorhin allhier gewesener Burger und Riemer meister, allschön Landabwesend, und von die sem weiters nichts bekannt gewesen, als dass er ohngefehr vor 30 Jahren mit seinem Ehe weib hieher gekommen, und nach einen kurzen Aufenthalt sich mit solcher vom hier wiederum hinweg, und dem Vernehmen nach, nacher J talien, dann von da aus wieder zurück in das Königreich Ungarn begeben haben soll, seitde me aber von seinem weitern Aufenthalt, Leben oder Todt nicht das mindeste mehr hören insinssen| sen, weswegen zwar der ihme zugefallene brü derliche Erbantheil der obrigkeitlich bestellten Vormundschaft zur behörigen Verrechnuug über geben worden, gegenwärtig aber nur bemeldt Friderich Pauschens nächste Anverwante, um Extradirung desselben geziemend angestanden, welches zu thun man auch von hiesigen Stadt magistrats wegen nicht ungeneigt ist; als wird vor allen oftbemeldten Friderich Pausch hiemit in öffentlichen Zeitungsblättern kund und zu wis sen gethan, auch edittaliter vorgeladen, dass sel ber oder allenfalls dessen Leibeserben in Zeit 3 Monaten peremptorieadato angerechnet, als nämlich das  Monat vor den ersten, das  Monat vor den zweyten, und das  Monat vor den dritten Termin, entweder in Person, oder durch einen legitimen Anwald auf hiesigen Rathhaus erscheinen, und den be troffenen Erbtheil erheben, oder in Entstehung dessen gewärtigen solle, dass solcher den näch sten Anverwanten ergacautionemextradiret werde.']"
76,75,94,75_july_augusti_maynstrom_august,"['july', 'augusti', 'maynstrom', 'august', 'dienstag', 'montag', 'spannien', 'sonntag', 'mailand', 'augustmonat']","['Dienstag den  July.', 'Dienstag den  July.', 'DEn  July.']"
77,76,93,76_pulver_storax_schierling_rosen,"['pulver', 'storax', 'schierling', 'rosen', 'zimmet', '16', 'safran', 'merkurial', 'rosarum', 'catechu']","['65 ǀ ǀ Emplastrumalbumcoctum.Bleyweiss 42 ǀ ǀ——— deCicuta, Schierling 51 ǀ ǀ——— DefensivumRubrum, ro ǀ ǀ ǀ thes Defensiv 40 ǀ ǀ———  Diabotanon, Kräutersaft 37 ǀ 16 ǀ———  Labdani, Labdan 56 ǀ 16 ǀ———  Meliloti, Melotten 44 ǀ ǀ———  Oxycrocei, Safran 75 ǀ ǀ——— deRaniscumMercurio, ǀ ǀ Merkurial 31 ǀ 16 ǀ——— adRupturas, Dürband 30 16 ǀ——— deSapone, Seifen| Essenz.', '65 Emplastrumalbumcoctum,Bleyweiss 42——— deCicuta, Schierling 51——— DesensivumRubrum, ro thes Defensiv 40———  Diabotanon, Kräutersaft 3716—— k—  Labdani, Labdan 5616———  Meliloti, Melotten 44———  Oxycrocei, Safran 75——— deRaniscumMercurio, Merkurial 3116——— adRupturas, Dürband 3016——— deSapone, Seifen Essenz 584 EssentiaAbsynthiiComposita, Wer muth 1821——  Castorei, Bibergeil 2512——  Catechu, Katechu 342——  Croci, Safran 3218—— LigniQuajaci, Franzosenholz 391—— MastichesComposita, Mastix 7119——  MyrhæMyrhae, Myrhen 8612——  Succini, Agtstein Extrakt.', '65 Emplastrumalbumcoctum,Bleyweiss 42——— deCicuta, Schierling 51——— DesensivumRubrum, ro thes Defensiv 40———  Diabotanon, Kräutersaft 3716—— k—  Labdani, Labdan 5616———  Meliloti, Melotten 44———  Oxycrocei, Safran 75——— deRaniscumMercurio, Merkurial 3116——— adRupturas, Dürband 3016——— deSapone, Seifen 584 EssentiaAbsynthiiComposita, Wer muth 1821——  Castorei, Bibergeil 2512——  Catechu, Katechu 342——  Croci, Safran 3218—— LigniQuajaci, Franzosenholz 391—— MastichesComposita, Mastix 7119——  MyrhæMyrhae, Myrhen 8612——  Succini, Agtstein 2124 ExtractumCicutæCicutae, Schierling 611———  Elaterii, Eselsgurkru 106———  EnualæEnualae, Alantwurzen 3312———  FumarieæFumarieae, Erdrauch 29——  Ononidis, Hauhechel 10423———  Pulsatil.']"
78,77,93,77_dito_dienstag_kaiserl_mittag,"['dito', 'dienstag', 'kaiserl', 'mittag', 'hungarn', 'regierende', 'monarch', 'montag', 'donnerstag', 'allerhöchst']","['Dito hatte der Kaiserl.', 'Dienstag den  Dito haben vor Mittag Jhre Kaiserl.', 'Dito ist in der Kaiserl.']"
79,78,92,78_pyramide_marmor_mitte_wappen,"['pyramide', 'marmor', 'mitte', 'wappen', 'saulen', 'statuen', 'säulen', 'pyramiden', 'ellen', 'hercules']","['Auf der Spitze der Pyramide stun de ein grosses Creutz: vor der Pyramide aber zu derer Füssen lage auf dem gedachten Pedestal das von Gold Stuk mit schwartz samme ten Strichen um und um eingefassete Leichen Tuch an diesem sahe man des Papstes Wappen: oben auf aber lagen  Pölster von eben sol chem Gold Stuk worauf die drey fache Päpstliche Cron ruhete.', 'Dieses kaiserliche Trauergebäu hatte in ihrer völligen Breite mit Ein begriff deren Saulen  Schuh, die Länge  Schuh, und  Schuh hoch; das ganze Gebäu stellte vor Lapislazulo mit goldenen Adern, die Saulen und Pyramiden waren mit goldenen Palmen umwunden, in welchen die Lichter eingetheilet waren, die Kapitäle, Gesimser und Trophe en waren völlig vergoldet, alls zusammen ware in so richtiger Propor tion, dass das Aug aller Kenner ein besonderes Vergnügen daran fande, die Beleuchtung ware etwas besonders 7765. feine Warkerzen von zer schiedener Grösse, wie es die Proportion erforderte, und 1250. von Wax gegossene vergoldte Lampen zierten dieses kaiserliche Mausoläum, sie waren in so guter Ordnung eingetheilet, dass die Gröste, Majestät und Herrlichkeit von diesem Trauergerüste von jedem Kenner mit Erstannen bewundert wurde, und frey bekennten, ein dergleichen majestätisches, schönes, wohlproportionirtes Mausoläum in Wien niemalen gesehen zu haben, dann es übertraffe alle diejenige an Majestät, Herrlichkeit, Pracht und Ordnung, so vorhin für schöne und edle Gedanken bewunder wur  Der Erfinder von diesem herrlichen, grossen Mausoläo ist der   Oberhofarchitector, Herr Nicola Edler von Paccasi, von welchem der Kupferstich ehebaldigst wird heraus gegeben werden.', 'Die Bild Hauer Kunst dargestellt in ihren Wunder und Meister Stüken Marmorner Ehren Pfeiler und Denk Säulen; in mitten derselben der Bild Hauer Meister an einem aus schwartzem Marmor Stein ge hauenem mithin zum Ziel gantz schiklichem Brust Bilde der Helden noch in der Arbeit begriffen; zu Boden herum ligen zerfallene Spitz Säulen Marmor Ge sichte und Ehren Zeichen; Stein Schrift: Jch bins an der der Held sein Hertz und Auge weidet Sein Bild auf Säulen setzt sein Nam in Marmor schneidet.']"
80,79,91,79_kunst_künstler_gallerie_natur,"['kunst', 'künstler', 'gallerie', 'natur', 'künste', 'mahler', 'bildenden', 'kunstgallerie', 'dienlichen', 'stücke']","['Er lässt sich zwar hier in kein besonders Detail über die sehenswürdigen Eigenheiten dieser Stücke ein, sondern schmeichlet sich mit Zuversicht, dass diese Sammlung, welche überhaupt sowohl in Rück sicht der Gegenstände selbst, als auch des rich tigen Kolorits eine äusserst interessante Gallerie bildet, und den Beyfall des Natur und KunstKunsttebhabers 1721 2 1722| tebhabers erhalten werde.', 'Er lässt sich zwar hier in kein besonders Detail über die sehenswürdigen Gegenheiten dieser Stücke ein, sondern schmeichlet sich mit Zuversicht, dass diese Sammlung, welche überhaupt sowohl in Rück sicht der Gegenstände selbst, als auch des rich tigen Kolorits eine äusserst interessante Gallerie bildet, und den Beyfall des Natur und Kunst liebhabers erhalten werde.', 'Er lässt sich zwar hier in kein besonders Detail über die sehenswürdigen Eigenheiten dieser Stücke ein, sondern schmeichlet sich mit Zuversicht, dass diese Sammlung, welche überhaupt sowohl in Rück sicht der Gegenstände selbst, als auch des rich tigen Kolorits eine äusserst interessante Gallerie bildet, und den Beyfall des Natur und Kunst liebhabers erhalten werde.']"
81,80,91,80_freyhrn_freyherrl_frey_freyhr,"['freyhrn', 'freyherrl', 'frey', 'freyhr', 'freyherr', 'freytag', 'freyinnen', 'getta', 'manna', 'peredictumad']","['Von dem     Landrecht wird hiemit bekannt gemacht: Es sey auf Anlangen der Fräu len Rosalia und Katharina Freyinnen  Manna getta, als Universal Erbinnen ihres verstorbenen Bruders  Georg Freyhrn.', 'Von dem     Landrecht wird hiemit bekannt gemacht: Es sey auf Anlangen der Fräu len Rosalia und Katharina Freyinnen  Manna getta, als Universal Erbinnen ihres verstorbenen Bruders,  Georg Freyhrn.', 'Von dem     Landrecht wird hiemit bekannt gemacht: Es sey auf Anlangen der Fräu len Rosalia und Katharina Freyinnen  Manna getta, als Universal Erbinnen ihres verstorbenen Bruders,  Georg Freyhrn.']"
82,81,90,81_kaiserl_niemalen_cioccolata_angerühret,"['kaiserl', 'niemalen', 'cioccolata', 'angerühret', 'demnach', 'schlegel', 'sak', 'eiss', 'gersten', 'uberfluss']","['Die Kaiserl.', 'Die Kaiserl.', 'ZuMula inMurcien einem unweit von CaravaCaravacaca ligenden Ort hat sich folgendes zu getragen: es befindet sich nemlich alda ein Apothecker Herr PeterDamian Ferre genannt welcher jederzeit ein von der Frommkeit sehr berühmter Mann und besonderer Gutthäter der CapuciCapucigewesennern gewesen dieser wurde sodann von dem  General des besagten Ordens welcher eben alda durchreisete besu chet worüber derselbe eine solche Freud empfienge dass er solches mit Worten genugsam zu bezeigen sich nicht allein auf das äusserste bemühete sondern auch um seine Freude besser an Tag zu geben besagten General samt sei nem Geleite auf das beste zutractir en dieses in das Werk zu setzen wurden verschiedene Ess Waaren der treflichste Wein und ins besondere  Pfund Cioccolata, eine gutePortion Eiss zwey grosse und fette Castraunen und mehr andere zu einem völligen TraTractamentctament gehörige Dinge in Uberfluss so wol zum Mittag als Abend Essen her bey geschaffet selbe auf das beste zuge richtet und nachdeme man sich zur Ge nüge davon gesättiget das Ubergebli bene unter die Arme ausgetheilet dass solchergestalten nichts anders als ein Castraunener Schlegel welcher denen Capucin ern des andern Tages auf ih rer Reise und etwas weniges von der | Cioccolata, so ihnen zum Fruhestücke dienen solte aufgehoben wurde; nach deme nun alles dieses nebst noch einem guten Sak voll Gersten so man denen Reit Thiere gegeben verzehret worden nahmen dieCapuciner ihren Abschied und der HerrFerre begleitete sie fast ei ne Welsche Meile Wegs von dannen er gleichsam weinend dass er diese seine angenehme Gäste verlieren müssen zu ruk kehrete; er kame auch wiederum zu Hause an und siehe; da fande er al les was sie des Tags vorher verzeh ret wiederum und zwar in solchem Stand dass es schiene als ob es nie malen wäre angerühret worden er fan de auch den Gersten Sak zugebunden wie vorhin und wiederum so voll als wann man niemalen ein eintziges Körn lein davon genommen gehabt hätte das Eiss allein mangelte und solches wird unfehlbar in der grossen Hitze zer flossen seyn im übrigen ausgenommen der Castraunene Schlegel welchen die Patres mit sich genommen auf der Rei se davon zu geniessen war alles wieder da und zwar so als wann das Fleisch niemalen gekochet dieCioccolata nie malen gebrauchet der Wein niemalen getrunken und in Summa alles nie malen angerühret worden wäre.']"
83,82,90,82_amalia_kaiserin_erz_eleonora,"['amalia', 'kaiserin', 'erz', 'eleonora', 'bosnien', 'durchleuchtigsten', 'verwittibte', 'verwittibt', 'magdalena', 'hungarn']","['Eben Heute Vormittag haben Jhre Majestät die Verwittibte Kaiserin Eleonora Magdalena Theresia samt Dero Durchleuchtigsten Erz Herzoginnen in der Kirche des Kaiserlichen ProfesshausesS.', 'Eben Heute Vormittag haben Jhre Majestät die Verwittibt Römische Kaiserin Eleonora Magdalena Theresia samt Dero Durch leuchtigsten Erz Herzoginnen sammentlich in dem Königlichen Stift derer     Closter Frauen  Clara Ordens dem Gottes Dienst Jhrer Hochwürden Titl.', 'Heute Vormittag haben Jhre Majestät die Verwittibt Rö mische Kaiserin Eleonora Magdalena Theresia samt Dero Durch leuchtigsten  Herzoginnen zu Maria Hietzing Vor und Nachmit tag Dero Andacht gepflogen auch das Mittagmahl bey Jhro Majestät der lezt Verwittibt Römischen Kaiserin Amalia Wilhelmina nebst DeDero )( ro| ro gesamten Durchleuchtigsten Erz Herzoginnen zu Schönbrunn ein genommen des Nachts aber bey den Regierend Kaiserlich und Ca tholischen Majestäten in der Favorita gespeiset.']"
84,83,90,83_stadt_städten_residentz_kaiserstadt,"['stadt', 'städten', 'residentz', 'kaiserstadt', 'gegenden', 'residenz', 'mädgen', 'einwohner', 'hiesige', 'stadtpfarren']","['in der Stadt.', 'Auf dem grossen Platz bey dem daselbstigen Rahthaus ware eine TriumphPforte nach Tosca nischer Art, zu sehen, welche ein Stadt raht mit einer treu gehorsamsten Burgerschaft, um aus innersten Herzens freud ihre von ih ren Vorfahrern ererbt bis diesen Augenblick unversehrtbeybehaltene, und in allen Zeiten fürwährende Treu ihrer allerschuldigsten Pflich ten nach allerunterthänigst anzuzeigen, haben aufrichten, und mit sinnreichen Bildern aus zieren lassen: das Werk ware  Schuh hoch und  Schuh breit, in dem höchsten Theil ware die Bildnuss Jhrer Kaiserl.', 'Jn einem Dorfe der Provinz Poitou, nahe bey Cöx in nieder Poitou, welches aus ungefehr 25 Wohnstätten bestund,| deren Einwohner alle durcheinander in Verwandschaft stunden, hat der rothe Schade alle Einwohner weggeraft, bis an ein Mädgen, welches allein übrig geblieben, und also die Erbinn aller Ver storbenen ist; wenn es schicklich wäre bey einem so ernsthaften Vorfalle etwas aufgewecktes anzubringen, würde man sich einer Stelle in einem Lustspiele erin nern, wo man einem jungen Menschen ein Mädgen zur Heurath unter der Vor stellung anpreisst, dass sie zwar jetzo nichts habe, allein sie würde nach dem Tod von 15 bis 20 Verwandten, die sie habe, sehr reich werden, worauf der junge Mensch erwidert, eine hofnungs volle Parthey, in Pestzeit!| Paris, den  Christmon.']"
85,84,89,84_nuntius_nuntii_monsig_hungarn,"['nuntius', 'nuntii', 'monsig', 'hungarn', 'venetianischen', 'nuntio', 'bottschafters', 'nunzius', 'herrn', 'päpstlichen']","['Nuntius Monsig.', 'Nuntius Monsig.', 'Herrn Nuntius, und des kais.']"
86,85,89,85_czech_konkurses_gerichte_gesammte,"['czech', 'konkurses', 'gerichte', 'gesammte', 'eröffnung', 'lande', 'residenzstadt', 'niederösterreich', 'bekannt', 'vermögen']","['Von dem Magistrate der   Haupt und Residenzstadt Wien wird anmit bekannt ge macht: Es sey von dem Gerichte in die Er öffnung eines Konkurses über das gesammte im Lande  Oest.', 'Von dem Magistrate der   Haupt und Residenzstadt Wien wird anmit bekannt ge macht: Es sey von dem Gerichte in die Er öffnung eines Konkurses über das gesammte im Lande  Oest.', 'Von dem Magistrate der   Haupt und Residenzstadt Wien wird hiemit bekannt ge macht: Es sey von dem Gerichte in die Er öffnung eines Konkurses über das gesammte im Lande Niederösterreich befindliche bewegliche Vermögen des burgl.']"
87,86,87,86_sonn_evangelien_heiligen_gebettern,"['sonn', 'evangelien', 'heiligen', 'gebettern', 'gebunden', 'christi', 'epi', 'christlichen', 'zenz', 'communion']","['Zenz( Joseph) gemeinnützliche Erklärung der Epi steln und Evangelien, auf alle Sonn und Feyer tage des ganzen Jahres, dann auch der Feste der Heiligen überhaupt, zum Unterrichte des Volkes, und zur Bildung eines christlichen Le bens, 2 Bände.', 'Messen von Wort zu Wort, wie solche von denen Priestern gelesen werden, samt Geistlicher Lesung von der Geburt JEsu Christi, nebst vorhergehenden Morgen, wie auch Bericht und Communion Gebettern un gebunden   gebunden   Heilige Faschings Andacht bestehend in  tägigen Sacramentalischen Ergözlichkeiten zu dem Hochwürdigsten Sacrament des Altars ungebunden   gebunden  Heil.', 'Messen von Wort zu Wort, wie solche von denen Priestern gelesen werden, samt Geistlicher Lesung von der Geburt JEsu Christi, nebst vorhergehenden Morgen, wie auch Beicht und Communion Gebettern un gebunden   gebunden   Heilige Faschings Andacht bestehend in  tägigen Sacramentalischen Ergözlichkeiten zu dem Hochwürdigsten Sacrament des Altars ungebunden   gebunden  Heil.']"
88,87,86,87_oktob_october_oktober_wochenmärkte,"['oktob', 'october', 'oktober', 'wochenmärkte', 'werktag', 'einfallet', 'genua', 'feyertag', 'dienstag', 'octob']","['Den  Oktob.', 'Den  Oktob.', 'Den  Oktob.']"
89,88,86,88_commissarien_commission_kommission_kommissare,"['commissarien', 'commission', 'kommission', 'kommissare', 'untersuchen', 'bericht', 'commissarii', 'erstatten', 'commissarius', 'commissions']","['Jn Schottland hat man bereits verschiedene Commissarien zu dieser Absicht ernannt, so die Aufsicht haben sollen.', 'und die folgende Täge darauf und zwar vor Mit tag von  bis  und nach Mittags von  bis  Uhr daselbst bey denen in Sachen verordneten Herren Commissarien sich anmelden.', 'Veordnung dahin ergangen dass an verschiedenen Orten oder Aemtern über gewisse Sachen eine Commission verordnet werden solte und zwar mit der  Instruction, dass die  Commissarien we nigstens in Monat Zeit alles dem Befehl ge mäss auf das genaueste zu untersuchen und so ferner weit an andern Orten besagter massen zu  continuiren nach gäntzlicher En digung aller den unterthänigsten münd lichen Bericht an  Majestät abzustatten gehalten seyn solten.']"
90,89,84,89_landesfürstl_magistrat_magistrate_oest,"['landesfürstl', 'magistrat', 'magistrate', 'oest', 'aschbach', 'landesfürsil', 'licitationstagsazung', 'magistrats', 'magistratus', 'köngl']","['Von dem Magistrat der landesfürstl.', 'Von dem Magistrat der landesfürstl.', 'Von dem Magistrat der   landesfürstl.']"
91,90,83,90_deutschen_deutsche_michaeler_zeitungs,"['deutschen', 'deutsche', 'michaeler', 'zeitungs', 'ghelischen', 'ghelen', 'privilegirten', 'druckerey', 'schriften', 'neuen']","['Gotthard Zwilling, öffentlicher Leh rer der französischen Sprache und einer deutschen Schule.| Anzeige.', '| Ankündigung.| Leben und Bildnisse grosser Deutschen.', '21) Arbeiten des deutschen Frauenzimmers.']"
92,91,83,91_blessirt_unwissende_capitapapaverisalbi_mohn,"['blessirt', 'unwissende', 'capitapapaverisalbi', 'mohn', 'schw', 'köpfe', 'protokolsauszüge', 'starks', 'schwachs', '386']","['386 16 CapitaPapaverisalbi, weisse Mohn ǀ ǀ ǀ köpfe.', 'NachAusweisdesvorigenMonathsblieban          Kassestand2296 5—2033124362 Reiner und wirklicher Empfang.||||||||| 1AnSammlungsbüchsen16875521565182325314— 2— OpferstockGeldern13745—172123309573 3—Kirchenbüchsen989—369402467492 4—eingegangenenSubscriptionen41947—7259—49246— 5— Allmosen von besonderen Gutthätern,sammt zuGeldgeschlagenenNaturalien2191—232233451243 SummadesreinenEmpfangs25623722412342497512— 6 Hierzu der obige Kasserest von dem vorigen Mo nathe 22965—203312432962 HauptSumme4858422444536—9304182 Bedarf.', 'NachAusweisdesvorigenMonathsblieban          Kassestand2296 5—2033124362 1AnSammlungsbüchsen16875521565182325314— 2— OpferstockGeldern13745—172123309573 3—Kirchenbüchsen989—369402467492 4—eingegangenenSubscriptionen41947—7259—49246— 5— Allmosen von besonderen Gutthätern,sammt zuGeldgeschlagenenNaturalien2191—232233451243 SummadesreinenEmpfangs25623722412342497512— 6 Hierzu der obige Kasserest von dem vorigen Mo nathe 22965—203312432962 HauptSumme4858422444536—9304182 1 An die Armen war in diesem Monathe zu ver theilen,undbetrugdiewirklicheAusgabe172936—734425—90741— ZeigtsichalsobeydenStadtpfarrernmehrum312962 DahingegenbeydenVorstadtpfarrenfürdie VertheilungeinAbgangvon———289849— Zur Ergänzung des Abgangs in diesem, und zur Bedeckung der ersten Betheilung im künftigen Monathe: Gaben die Stadtpfarren eine Aushilf ———796—— UnddieHauptverlagskasse———4236—— SummederAushilf———5032—— Nach Abschlag der obigen den Vorstadepfarren gegebenen Aushilf mit 796 bleibtbeyden Stadtpfarren233362 Und nach Abschlag des oben ausgewiesenen, und in diesem Monathe zur gänzlichen Vertheilung nothwendigen Betrags mit 2898  49  bleibtbeydenVorstadtpfarren———213311— UndimGanzen——————4466172 MitderganzenPortion71100171 ——dreyViertel127167294 ——halben46521012566 ——einViertel11221592271 Zusammen77545275302 Wien bey dem Hauptbeziek den  Juni 1796.  der Posten Bey den Stadt | Bey den Vor | | pfarren.']"
93,92,82,92_ehew_ah__,"['ehew', 'ah', '', '', '', '', '', '', '', '']","['Ehew.', 'Ehew.', 'Ehew.']"
94,93,82,93_excell_excel_excellenz_euer,"['excell', 'excel', 'excellenz', 'euer', 'vormittags', 'beutel', 'abends', 'unsers', 'eodem', 'eure']","['Da die  Excell.', '„ Auf  Excell.', 'Von der Excell.']"
95,94,82,94_kaiserl_regierende_beede_jhrer,"['kaiserl', 'regierende', 'beede', 'jhrer', 'hieran', 'allerhöchst', 'beschiehet', 'schihet', 'gedacht', 'jhro']","['Jhrer D Kaiserl.', 'Abends seynd Allerhöchst gedacht beede Regierende Kaiserl.', 'SEynd beede Regierende Kaiserl.']"
96,95,81,95_unzen_thle_dritter_vier,"['unzen', 'thle', 'dritter', 'vier', 'dritte', 'stumpf', 'theile', 'landstr', '4tes', 'alt']","['4 Thle.', '3 Unzen an statt 4 Unzen.', '3 Unzen an statt 4 Unzen.']"
